id,uid,password,first_name,last_name,username,email,avatar,gender,phone_number,social_insurance_number,date_of_birth,employment,address,credit_card,subscription,dt_current_timestamp
5070,47fcf337-c1a4-4fdd-8931-92b05329cc7f,3eTQz^j3^q,James,Martin,woodssarah,gregorywood@example.net,https://picsum.photos/23/733,Female,710-318-2030,524-98-2623,1947-03-23,"{'title': 'Water quality scientist', 'key_skill': 'Teamwork'}","{'city': 'West Timothytown', 'street_name': 'Simpson River', 'street_address': '738 Acosta Circle', 'zip_code': '10346', 'state': 'Illinois', 'country': 'Korea', 'coordinates': {'lat': -52.912423, 'lng': 92.391518}}","{'id': '6253', 'uid': '71cb9f99-3320-4c7f-82b5-56d1edc81446', 'credit_card_number': '6236-7419-3613-8853', 'credit_card_expiry_date': '2027-07-01', 'credit_card_type': 'diners_club', 'user_id': '47fcf337-c1a4-4fdd-8931-92b05329cc7f', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '5295', 'uid': '4c759093-cbb2-484c-9d63-c9c376ddc47c', 'plan': 'Standard', 'status': 'Idle', 'payment_method': 'Alipay', 'subscription_term': 'Lifetime', 'payment_term': 'Full Subscription', 'user_id': '47fcf337-c1a4-4fdd-8931-92b05329cc7f', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
6770,5647b2c9-5711-4a65-8f61-afcd3f274878,^QkHZlbx6O,Brian,Bishop,fsmith,nancy32@example.com,https://placekitten.com/176/392,Other,210-204-6906,427-27-4586,2009-06-16,"{'title': 'Midwife', 'key_skill': 'Teamwork'}","{'city': 'Laurenberg', 'street_name': 'Walton Lodge', 'street_address': '3050 Jose Junctions Suite 807', 'zip_code': '40236', 'state': 'Indiana', 'country': 'Guernsey', 'coordinates': {'lat': 65.010753, 'lng': 154.248271}}","{'id': '6775', 'uid': '057d910b-3162-4c94-83d0-bad8487030c7', 'credit_card_number': '5857-2651-9469-4183', 'credit_card_expiry_date': '2028-09-01', 'credit_card_type': 'discover', 'user_id': '5647b2c9-5711-4a65-8f61-afcd3f274878', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '5067', 'uid': '633a9a94-bdbb-4981-a7ce-7387eb6fcab5', 'plan': 'Gold', 'status': 'Blocked', 'payment_method': 'Money Transfer', 'subscription_term': 'Monthly', 'payment_term': 'Pay per Use', 'user_id': '5647b2c9-5711-4a65-8f61-afcd3f274878', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
4014,5456195f-f2f2-418a-83e0-69db714bb334,Q+yh$Piv!4,Samuel,Parker,crystal02,isaac96@example.com,https://picsum.photos/4/653,Other,804.789.4902,089-43-9761,1977-10-02,"{'title': 'Product/process development scientist', 'key_skill': 'Teamwork'}","{'city': 'North Brendaburgh', 'street_name': 'Carrie Forges', 'street_address': '30800 Reynolds Ramp', 'zip_code': '41197', 'state': 'Iowa', 'country': 'Paraguay', 'coordinates': {'lat': -7.7796185, 'lng': -148.641916}}","{'id': '6131', 'uid': '64bdc9da-d2ee-449b-ba90-2a509f2e9064', 'credit_card_number': '5155-3744-3923-2085', 'credit_card_expiry_date': '2028-05-01', 'credit_card_type': 'laser', 'user_id': '5456195f-f2f2-418a-83e0-69db714bb334', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '8186', 'uid': 'a4d34539-3f90-4f60-a1a3-fb59afff9bc7', 'plan': 'Basic', 'status': 'Cancelled', 'payment_method': 'Money Transfer', 'subscription_term': 'Yearly', 'payment_term': 'Full Subscription', 'user_id': '5456195f-f2f2-418a-83e0-69db714bb334', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
7319,a2326068-abed-4b99-b094-e157f9784528,k8@Y5UMbai,Matthew,Sweeney,brockamy,mlee@example.org,https://picsum.photos/621/857,Female,(572)237-0393,738-69-3295,1927-11-28,"{'title': 'Cartographer', 'key_skill': 'Teamwork'}","{'city': 'Port Dustinport', 'street_name': 'David Glens', 'street_address': '568 Martinez Creek', 'zip_code': '01943', 'state': 'Virginia', 'country': 'Morocco', 'coordinates': {'lat': 47.8876695, 'lng': 57.713065}}","{'id': '1249', 'uid': 'bf5c9fba-2265-4779-b5e2-6e3a4aa3c8ed', 'credit_card_number': '2385-6965-2110-8762', 'credit_card_expiry_date': '2030-09-01', 'credit_card_type': 'visa', 'user_id': 'a2326068-abed-4b99-b094-e157f9784528', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '3959', 'uid': 'e6074baa-2c18-4dd2-a274-5b938d40c819', 'plan': 'Basic', 'status': 'Idle', 'payment_method': 'Google Pay', 'subscription_term': 'Weekly', 'payment_term': 'Full Subscription', 'user_id': 'a2326068-abed-4b99-b094-e157f9784528', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
2506,c976dd89-42d8-4628-8366-c82833865487,)71sHeTe3T,Yvette,Douglas,loririggs,amanda83@example.net,https://picsum.photos/5/627,Male,222-336-8206,817-01-1300,1975-08-01,"{'title': 'Health and safety adviser', 'key_skill': 'Teamwork'}","{'city': 'New Courtney', 'street_name': 'Lee Cliffs', 'street_address': '613 Simmons Camp Apt. 620', 'zip_code': '45825', 'state': 'Kentucky', 'country': 'Ethiopia', 'coordinates': {'lat': -32.848724, 'lng': -113.331284}}","{'id': '4632', 'uid': 'd60d8884-c1b8-498c-b325-cac731029c62', 'credit_card_number': '6656-2788-8244-6853', 'credit_card_expiry_date': '2025-12-01', 'credit_card_type': 'laser', 'user_id': 'c976dd89-42d8-4628-8366-c82833865487', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '9478', 'uid': '1c8bee96-2b19-414f-b9df-6cfa126786d1', 'plan': 'Bronze', 'status': 'Blocked', 'payment_method': 'Bitcoins', 'subscription_term': 'Quinquennal', 'payment_term': 'Monthly Payment', 'user_id': 'c976dd89-42d8-4628-8366-c82833865487', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
4920,46108fd0-2db4-4d6a-a9aa-c3923a9aec88,d6!O2C0b!n,Sylvia,Sutton,thorntondonna,jasmine46@example.net,https://placekitten.com/0/775,Other,001-585-345-4591x496,691-48-6408,1936-09-13,"{'title': 'Secretary/administrator', 'key_skill': 'Teamwork'}","{'city': 'South Pamela', 'street_name': 'Tracy Locks', 'street_address': '76007 Ian Drives', 'zip_code': '01304', 'state': 'Iowa', 'country': 'Guadeloupe', 'coordinates': {'lat': -70.9569235, 'lng': 21.927166}}","{'id': '7671', 'uid': '60717802-e24c-45c5-96f9-3442e5375e37', 'credit_card_number': '2366-9696-9711-9162', 'credit_card_expiry_date': '2028-12-01', 'credit_card_type': 'mastercard', 'user_id': '46108fd0-2db4-4d6a-a9aa-c3923a9aec88', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '5272', 'uid': 'e8416b5d-47e9-4eec-a6a5-d89ad99004de', 'plan': 'Platinum', 'status': 'Blocked', 'payment_method': 'Bitcoins', 'subscription_term': 'Quinquennal', 'payment_term': 'Monthly Payment', 'user_id': '46108fd0-2db4-4d6a-a9aa-c3923a9aec88', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
6225,d4f42a28-0260-4714-94c9-91cd44835454,$lD4PeEO#!,Joanna,Brown,laura12,rjohnson@example.com,https://picsum.photos/627/1006,Male,+1-260-873-7062,481-98-2103,1916-12-02,"{'title': 'Chief Operating Officer', 'key_skill': 'Teamwork'}","{'city': 'Jacksonfort', 'street_name': 'Kelly Gateway', 'street_address': '171 Michael Tunnel Apt. 771', 'zip_code': '29982', 'state': 'Indiana', 'country': 'Pitcairn Islands', 'coordinates': {'lat': -38.3361035, 'lng': -51.145525}}","{'id': '7675', 'uid': '7e7e859c-b6c1-4851-90e3-822fe6aa11be', 'credit_card_number': '5856-4103-6981-2548', 'credit_card_expiry_date': '2026-11-01', 'credit_card_type': 'mastercard', 'user_id': 'd4f42a28-0260-4714-94c9-91cd44835454', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '1840', 'uid': '69fa9bc4-bc51-40bd-9bc5-3bef0f69b67d', 'plan': 'Basic', 'status': 'Active', 'payment_method': 'Bitcoins', 'subscription_term': 'Lifetime', 'payment_term': 'Pay per Use', 'user_id': 'd4f42a28-0260-4714-94c9-91cd44835454', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
3722,a1db1964-3f8b-4338-be34-55875535e9cd,t@1KfBLKV8,Christopher,Wilson,kimberlywalters,karencampbell@example.org,https://picsum.photos/290/805,Other,513-920-5723x360,738-93-0332,1960-06-04,"{'title': 'Customer service manager', 'key_skill': 'Teamwork'}","{'city': 'New Victoria', 'street_name': 'Nicole Shoals', 'street_address': '778 Danielle Path Suite 270', 'zip_code': '34641', 'state': 'Massachusetts', 'country': 'Greenland', 'coordinates': {'lat': 36.758474, 'lng': -51.126878}}",{},"{'user_id': 'a1db1964-3f8b-4338-be34-55875535e9cd', 'subscription_id': '8ad3bcae-b3c1-42ea-a651-8d9f10e3f058', 'plan': 'Silver', 'status': 'Active', 'payment_method': 'PayPal', 'dt_current_timestamp': '1705529035'}",1705532678
1768,b15971c9-d904-4b73-ae2e-834198c7f51a,!w@AfziU4t,Kenneth,Cruz,chelsey51,osmith@example.com,https://picsum.photos/294/343,Female,+1-838-297-9259,052-49-2492,1911-11-02,"{'title': 'Manufacturing engineer', 'key_skill': 'Teamwork'}","{'city': 'Port Emilyberg', 'street_name': 'Mercer Port', 'street_address': '8914 Cruz Throughway Apt. 504', 'zip_code': '81512', 'state': 'Missouri', 'country': 'Senegal', 'coordinates': {'lat': 63.405002, 'lng': 47.737687}}","{'id': '1924', 'uid': '5f5682fc-e006-45f7-94df-d32b6c088cfd', 'credit_card_number': '3916-3610-7503-8283', 'credit_card_expiry_date': '2028-09-01', 'credit_card_type': 'visa', 'user_id': 'b15971c9-d904-4b73-ae2e-834198c7f51a', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '3879', 'uid': 'f374eaf4-bd91-480f-953d-b81e8442f203', 'plan': 'Platinum', 'status': 'Cancelled', 'payment_method': 'Paypal', 'subscription_term': 'Yearly', 'payment_term': 'Full Subscription', 'user_id': 'b15971c9-d904-4b73-ae2e-834198c7f51a', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
6932,3cf49b65-05f9-4f4e-95f8-4dd9a3d94485,!XPBPmFl*4,Sharon,Hickman,david74,jose68@example.net,https://placekitten.com/54/588,Male,+1-262-463-8282x894,759-41-5576,2023-12-13,"{'title': 'Print production planner', 'key_skill': 'Teamwork'}","{'city': 'New Davidchester', 'street_name': 'Abbott Run', 'street_address': '0409 Mariah Summit', 'zip_code': '23768', 'state': 'Iowa', 'country': 'Gabon', 'coordinates': {'lat': 12.4750365, 'lng': -177.497981}}","{'id': '9221', 'uid': '08ec10b7-eb62-4731-9f8f-76b4f9c35a83', 'credit_card_number': '8591-7957-6642-4383', 'credit_card_expiry_date': '2024-02-01', 'credit_card_type': 'mastercard', 'user_id': '3cf49b65-05f9-4f4e-95f8-4dd9a3d94485', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '2423', 'uid': '3eb21a88-5dfb-45d4-b7d9-17cb5e2b6901', 'plan': 'Gold', 'status': 'Idle', 'payment_method': 'Credit Card', 'subscription_term': 'Monthly', 'payment_term': 'Pay per Use', 'user_id': '3cf49b65-05f9-4f4e-95f8-4dd9a3d94485', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
5853,b2174361-9414-4d6c-8547-345f293adce1,B6T_az3A_x,Donald,Dalton,zachary53,theresa50@example.com,https://placekitten.com/17/429,Male,001-252-842-7495x447,491-75-5680,1922-03-17,"{'title': 'Dispensing optician', 'key_skill': 'Teamwork'}","{'city': 'Powellhaven', 'street_name': 'Benton View', 'street_address': '88715 Cindy Mills Apt. 597', 'zip_code': '25806', 'state': 'Oregon', 'country': 'Eritrea', 'coordinates': {'lat': 31.1508045, 'lng': -37.715584}}","{'id': '6299', 'uid': 'bdc826a0-643d-4fa0-bdc2-fcae30193fdb', 'credit_card_number': '8002-1640-1016-1790', 'credit_card_expiry_date': '2022-02-01', 'credit_card_type': 'diners_club', 'user_id': 'b2174361-9414-4d6c-8547-345f293adce1', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '5088', 'uid': 'b0ac36f7-6373-45c5-b1e0-c079f993b9a7', 'plan': 'Bronze', 'status': 'Blocked', 'payment_method': 'Money Transfer', 'subscription_term': 'Yearly', 'payment_term': 'Full Subscription', 'user_id': 'b2174361-9414-4d6c-8547-345f293adce1', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
4067,98388fe6-55e9-4ba9-865f-b8c2ca280e26,_c^uNMCf8E,Connor,Green,edwardssherry,kathryn54@example.org,https://placekitten.com/665/25,Other,798-645-4559x92031,699-21-4087,1914-10-10,"{'title': 'Therapist, drama', 'key_skill': 'Teamwork'}","{'city': 'Traceyshire', 'street_name': 'Quinn Village', 'street_address': '58485 Natalie Cliff Apt. 854', 'zip_code': '83650', 'state': 'New York', 'country': 'Botswana', 'coordinates': {'lat': 54.01013, 'lng': -52.310581}}","{'id': '9932', 'uid': 'c602b031-288a-423c-87b1-13253f28e4ec', 'credit_card_number': '4705-1847-7092-1786', 'credit_card_expiry_date': '2022-01-01', 'credit_card_type': 'visa', 'user_id': '98388fe6-55e9-4ba9-865f-b8c2ca280e26', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '1007', 'uid': '673264bd-0f39-448c-8a92-343484b81eb0', 'plan': 'Standard', 'status': 'Idle', 'payment_method': 'Credit Card', 'subscription_term': 'Lifetime', 'payment_term': 'Monthly Payment', 'user_id': '98388fe6-55e9-4ba9-865f-b8c2ca280e26', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
6964,99f3b121-eabc-4ca4-a4a4-8c46be88588d,%2sX&pek@5,Deborah,Davies,billy11,zwilliams@example.org,https://dummyimage.com/785x1013,Other,549.745.2680x3534,570-67-5435,2020-05-26,"{'title': 'Landscape architect', 'key_skill': 'Teamwork'}","{'city': 'Marchaven', 'street_name': 'Jordan Wall', 'street_address': '706 Baker Loop', 'zip_code': '70263', 'state': 'Nebraska', 'country': 'Cambodia', 'coordinates': {'lat': -50.6649835, 'lng': -173.492066}}",{},"{'user_id': '99f3b121-eabc-4ca4-a4a4-8c46be88588d', 'subscription_id': 'd664b02d-572a-4f29-a5e6-c838315a0aae', 'plan': 'Silver', 'status': 'Cancelled', 'payment_method': 'MasterCard', 'dt_current_timestamp': '1705529035'}",1705532678
6988,95675d73-9403-4f8c-8277-3fa1836aa5d5,C7JfK5Hg&q,Tara,Simmons,williamskayla,carlsonsherry@example.com,https://picsum.photos/151/179,Other,583.375.5586x4014,625-50-1209,1959-11-27,"{'title': 'Optometrist', 'key_skill': 'Teamwork'}","{'city': 'Lorimouth', 'street_name': 'David Hill', 'street_address': '487 Cody Island Apt. 531', 'zip_code': '36966', 'state': 'Florida', 'country': 'Bouvet Island (Bouvetoya)', 'coordinates': {'lat': 47.857561, 'lng': -77.542225}}","{'id': '9082', 'uid': 'a3cc1db9-a94d-4474-be08-d80b69641445', 'credit_card_number': '2265-3563-5295-4238', 'credit_card_expiry_date': '2023-08-01', 'credit_card_type': 'laser', 'user_id': '95675d73-9403-4f8c-8277-3fa1836aa5d5', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '4583', 'uid': 'fa880832-38b6-4a7a-b76f-c3d5474a3edb', 'plan': 'Gold', 'status': 'Idle', 'payment_method': 'Google Pay', 'subscription_term': 'Weekly', 'payment_term': 'Pay per Use', 'user_id': '95675d73-9403-4f8c-8277-3fa1836aa5d5', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
